UTCDate,UTCTime,wdmin(D),wdavg(D),wdmax(D),wsmin(ms-1),wsavg(ms-1),wsmax(ms-1),Tout,RH,Pout,rainaccum(mm),raindur(s),rainintensity(mmh-1),hailaccum(hitscm-2), haildur(s),hailintensity(hitscm-2h-1),rainpkintensity(mmh-1),hailpkintensiy(hitscm-2)
2017/10/20,12:31:28.712201,323,336,349,1.1,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:31:32.751201,0,0,0,0,0,0,11.4,51.4,1003.9,0,0,0,0,0,0,0,0
2017/10/20,12:31:33.712201,323,336,343,0.8,1.0,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:31:38.712201,322,335,351,1.0,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:31:43.712201,317,333,340,1.3,1.4,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:31:48.712201,330,336,345,1.3,1.6,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:31:53.712201,312,331,342,1.1,1.3,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:31:58.712201,319,327,342,1.4,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:03.712201,297,320,332,0.9,1.3,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:08.713201,293,323,344,1.3,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:13.712201,298,322,334,0.7,1.0,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:18.712201,324,338,344,0.8,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:23.712201,322,328,345,0.9,1.3,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:28.712201,317,325,336,1.1,1.2,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:32.751201,0,0,0,0,0,0,11.4,51.5,1003.9,0,0,0,0,0,0,0,0
2017/10/20,12:32:33.712201,321,332,345,1.1,1.4,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:38.712201,325,338,353,0.9,1.4,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:43.712201,324,341,353,1.4,1.6,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:48.712201,313,325,336,1.1,1.7,2.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:53.712201,305,328,339,0.8,1.4,2.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:32:58.712201,316,331,343,1.5,2.0,2.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:03.712201,318,329,343,1.5,1.7,2.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:08.712201,319,332,340,1.3,1.4,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:13.712201,330,337,341,1.0,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:18.712201,303,334,355,0.5,0.8,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:23.711201,320,330,341,0.4,0.8,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:28.712201,292,333,356,0.6,1.0,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:32.751201,0,0,0,0,0,0,11.4,51.4,1004.0,0,0,0,0,0,0,0,0
2017/10/20,12:33:33.712201,321,332,342,0.9,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:38.712201,327,339,348,1.2,1.3,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:43.712201,327,335,345,1.4,1.6,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:48.712201,326,338,346,1.3,1.4,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:53.712201,309,320,334,1.2,1.4,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:33:58.712201,314,328,339,1.0,1.3,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:03.712201,311,323,346,0.8,1.0,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:08.712201,003,329,315,1.1,1.5,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:13.712201,323,331,340,1.3,1.5,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:18.712201,316,330,345,1.3,1.5,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:23.712201,321,332,342,1.3,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:28.711201,314,334,349,0.7,1.4,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:32.750201,0,0,0,0,0,0,11.4,51.4,1004.0,0,0,0,0,0,0,0,0
2017/10/20,12:34:33.711201,245,322,351,1.0,1.3,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:38.711201,319,332,351,1.3,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:43.711201,297,324,340,0.9,1.4,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:48.712201,315,334,342,1.0,1.2,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:53.711201,302,321,335,0.9,1.3,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:34:58.711201,305,330,340,1.1,1.5,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:35:03.711201,297,318,331,0.9,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:35:08.711201,312,322,336,1.3,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:35:13.712201,327,333,341,1.0,1.4,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:35:18.711201,331,335,341,1.0,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:35:23.711201,323,330,337,1.4,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:35:28.711201,312,323,337,1.3,1.5,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:35:32.750201,0,0,0,0,0,0,11.4,51.5,1004.0,0,0,0,0,0,0,0,0
2017/10/20,12:35:33.711201,293,321,346,1.1,1.3,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:35:38.712201,319,322,326,1.4,1.6,1.8,0,0,0,0,0,0,0,0,0,0,0
